,Sum of Ganancia,Sum of Importe,Sum of Importe USD,Sum of Cantidad,Sum of Hormas
count,134.0,134.0,134.0,134.0,133.0
mean,304236.46476865676,935125.041650933,24680.41411135272,15411.201962686568,1126.2406015037593
std,546861.6485322241,1929641.3624805473,50932.08708027124,83045.85153791719,4412.193052505914
min,-77093.25399999971,-159658.01751631754,-4216.695130155331,-451.0,-4.0
25%,23505.497,91137.69774999999,2384.4673375,338.75,0.0
50%,130255.00649999999,323512.50021085946,8530.067964960837,2433.4890000000005,0.0
75%,293062.05899999995,792648.6629863259,20791.760097809063,8816.0,0.0
max,2986775.122000001,12395142.099588873,327018.8276862275,948945.0,42180.0
