Articulo,Sum of Ganancia,Sum of Importe,Sum of Importe USD,Sum of Cantidad,Sum of Hormas
YG3246 - Yogur Yolife Deslactosado Light COLONIAL con LPLD Vainilla Pote Plastico 0.5 lt,236013.58400000047,481817.90459684003,12695.850096258688,9595,0
DL1703 - Dulce de Leche Confitero   DON TOBIAS  envase retornable  5 kg,192837.18899999998,481434.4911240082,12684.76361254033,1122,0
YG3137 - Yogur Deslactosado Light  COLONIAL Durazno Pote Plastico 0.5 lt,235911.24300000002,464394.37286993745,12242.495290305362,9077,0
QU1914 - Queso Provolone Exportacion,45678.486000000004,446576.57000000007,11817.5,1950,1098
YG3163 - Yogur Bebible COLONIAL Frutilla Sachet 1 lt,229746.20899999983,439731.773040366,11593.853144451665,14943,0
DL918 - Dulce de Leche Exportación   COLONIAL  frasco vidrio 0.44 kg,196900.49400000004,437001.70616536314,11596.109540118303,6223,0
DL3233 - Chocolate relleno COLONIAL bolsa 25kg,156281.642,436821,11527.445,244,0
DL2905 - Dulce de Leche Classic bolsa 3 kg,123936.14499999999,433902.862,11542.490000000002,1969,0
DL3266 - Dulce de leche Diet Familiar COLONIAL frasco 440g,138481.49300000005,420519.0946337374,11077.625897696582,4988,0
YG3164 - Yogur Bebible COLONIAL Durazno Sachet 1 lt,221386.10199999996,406462.24154526193,10713.994023496107,13716,0
QU2238 - Queso Muzarella hebras  COLONIAL  bolsa 0.5 kg,196420.58399999983,396896.8355689751,10426.821746175327,1946,0
DL1800 - Dulce de Leche Repostero   DON TOBIAS  envase retornable  5 kg,154300.04599999997,380101.9911895243,10017.228120197511,895,0
DL917 - Dulce de Leche Exportación   COLONIAL  frasco vidrio 0.8 kg,148060.933,375820.5874123951,9879.621131386755,3213,0
YG5054 - Yogur Bebible COLONIAL Banana-Frutilla Sachet 1 Kg,204029.113,370068.24214646814,9749.99928280295,11970,0
DL5037 - Dulce de Leche Deslactosado  COLONIAL  frasco vidrio 0.42 kg,161678.56000000008,359752.56010812457,9514.628102351666,4442,0
DL2808 - Dulce de Leche Familiar   LAPATAIA  frasco vidrio 0.44 kg,132705.772,337424.4,9008.795,5373,0
QU1675 - Queso Cuartirolo   COLONIAL  Fraccion 0.4 kg,169936.57799999998,324064.0970937662,8548.385121151237,918.0020000000004,2262
YG5056 - Yogur Bebible COLONIAL Frutos del Bosque Sachet 1 Kg,172521.03499999997,322960.9033279528,8511.750808770437,10382,0
DL5073 - Dulce de Leche  TUKU TUKU frasco vidrio 0.8 kg,116486.07,304693.19999999995,8101.332,2712,0
QU1687 - Queso Dambo   COLONIAL  Fraccion 0.4 kg,139883.32300000003,278703.29950578103,7340.831355751701,810.686,2222
DL5043 - Dulce de Leche Familiar LAPATAIA  frasco vidrio 0.8 kg,62775.391,271327.2,7177.447,3144,0
DL34 - Dulce de Leche Repostero   DEL VALLE  envase retornable  5 kg,51303.557000000015,270863.921764594,7111.164643810843,867,0
QU63 - Queso Cuartirolo   COLONIAL  Barra 3.6 kg,122772.611,270806.90557582036,7146.963507756945,879.346,258
LE76 - Leche Descremada   COLONIAL  Sachet 1 lt,142616.304,258022.36800000007,6802.716,8414,0
DL5095 - Dulce de Leche Deslactosado MERCATTO  frasco vidrio 0.44 kg,109237.406,256452.12,6840,3600,0
QU3153 - Queso muzarella  hebras Light COLONIAL  bolsa 0.5 kg,136718.96699999992,256037.92622112393,6755.975229294866,1171,0
"QU2239 - Queso Dambo hebras  COLONIAL  bolsa 0,5 kg",127804.241,249670.13567263758,6590.639743993547,1225,0
DL5068 - Dulce de Leche Repostero COLONIAL  Pote Plastico 1 kg,73765.90000000007,249485.96090125735,6575.671406138797,2266,0
DL26 - Dulce de Leche Heladero   COLONIAL  bolsa 25 kg,115528.662,238512.61,6287.561,113,0
DL5066 - Dulce de Leche ALDEA Pote Plastico 0.9 kg,80087.074,235075.8214999998,6274.801333320878,2832,0
DL3 - Dulce de Leche Supercrema   COLONIAL  Pote Plastico 0.25 kg,90892.49800000002,233045.28169331801,6145.19553942325,5829,0
YG1478 - Yogur Semidescremado Light COLONIAL Frutilla Sachet 1 lt,134691.196,230998.61253377274,6092.48472236459,5016,0
DL3161 - Dulce de Leche Premium   LAPATAIA  frasco vidrio 0.42 kg,76593.211,181374,4842.451,2580,0
DL5058 - Dulce de Leche  JUANA LA LOCA frasco vidrio 0.44 kg,72496.93,178274.4,4682.089,2832,0
DL5085 - Dulce de Leche TSUNAMI frasco vidrio 0.44 kg,73425.784,175248,4591.462,2856,0
YG1477 - Yogur Semidescremado Light  COLONIAL Durazno Sachet 1 lt,95081.15099999994,174605.34005214061,4604.105413684368,3854,0
AL02 - Postre Arroz con leche canela COLONIAL tarrina 200grs,96855.51899999999,173173.83016114106,4555.8945517959255,4444,0
